,_c0,PD_CD
0,175,899
1,540,781
2,78658,782
3,149,331
4,3262,170
5,3,783
6,241884,333
7,28,289
8,14,784
9,2365,335
10,4,786
11,283,174
12,2,787
13,29753,175
14,560,788
15,241404,338
16,137,176
17,244,789
18,84305,339
19,86646,221
20,147,672
21,2011,177
22,3,178
23,43948,223
24,4283,179
25,134,674
26,2,836
27,15307,224
28,64,721
29,1,839
30,1,678
31,3894,723
32,869,110
33,8,561
34,790,724
35,899,111
36,4292,725
37,779,112
38,165,563
39,77478,113
40,595,727
41,492,565
42,15125,114
43,6225,566
44,10647,115
45,217,610
46,183617,567
47,46804,729
48,19619,117
49,3227,568
50,432,450
51,8547,451
52,10861,569
53,2,614
54,3,119
55,43,291
56,1147,455
57,109,293
58,12254,500
59,9,618
60,3703,501
61,14534,457
62,19,619
63,1746,502
64,22432,503
65,10291,792
66,484,341
67,49,297
68,45194,793
69,305,180
70,17,342
71,30579,343
72,1871,505
73,1761,181
74,15,299
75,103,344
76,1514,507
77,1055,183
78,25,345
79,3,796
80,10,840
81,1992,508
82,132,841
83,18,797
84,2,184
85,1428,347
86,334,185
87,633,509
88,1,798
89,15685,681
90,288,799
91,19,186
92,15,843
93,40079,349
94,5453,231
95,186,187
96,73,844
97,1226,683
98,6,845
99,2911,233
100,5,846
101,4372,847
102,722,234
103,3,685
104,1406,848
105,1033,730
106,1245,731
107,97,687
108,202,849
109,136,688
110,1008,570
111,15,733
112,3,689
113,15,121
114,79,122
115,5,574
116,5,737
117,107,576
118,36,125
119,59186,739
120,3,622
121,6011,461
122,15636,462
123,915,625
124,348,464
125,50,627
126,3899,510
127,2857,466
128,106585,511
129,2539,512
130,240,350
131,11,468
132,202,351
133,6,513
134,851,514
135,5009,515
136,1062,191
137,862,193
138,5,355
139,13,969
140,35511,357
141,8242,401
142,461,519
143,95,195
144,3741,402
145,212,853
146,21,691
147,1549,241
148,16563,403
149,1403,197
150,61957,198
151,7132,404
152,7,693
153,44877,405
154,2712,243
155,1418,199
156,3,694
157,5212,406
158,1471,244
159,388,695
160,7542,407
161,230,696
162,345,858
163,2159,408
164,20,697
165,2629,409
166,175,742
167,49,904
168,40,698
169,78913,905
170,15,248
171,1755,744
172,782,907
173,16,584
174,90,746
175,30,585
176,17504,748
177,32,586
178,34255,749
179,31,587
180,17,588
181,194,633
182,3,589
183,255838,637
184,3264,475
185,414170,638
186,433,520
187,19,476
188,302602,639
189,5945,521
190,365,477
191,11278,478
192,474,360
193,1,522
194,3293,361
195,383,479
196,2,523
197,252,524
198,1,975
199,395,363
200,206,365
201,2,860
202,1630,366
203,4189,410
204,2,861
205,3076,367
206,211,862
207,46,529
208,4240,411
209,9219,412
210,3363,413
211,15,864
212,3262,414
213,14949,415
214,10,866
215,203343,254
216,3373,416
217,9181,417
218,30221,750
219,8,868
220,6906,256
221,3427,418
222,50410,419
223,8905,301
224,99999,258
225,74,591
226,159419,259
227,46477,916
228,5690,303
229,80,754
230,18,593
231,7065,305
232,808,918
233,170,594
234,4,143
235,20,756
236,62,595
237,5572,307
238,4103,640
239,846,802
240,867,596
241,27174,759
242,35,803
243,51,641
244,1,146
245,1003,643
246,1,148
247,791,644
248,140,645
249,439,808
250,3,646
251,3626,809
252,490,647
253,11,648
254,26,530
255,6442,649
256,161,531
257,48,532
258,244,371
259,1909,489
260,35,533
261,61,373
262,1026,375
263,88,537
264,4070,420
265,53417,421
266,2459,377
267,19,872
268,5683,422
269,123,423
270,857,379
271,176,261
272,147,874
273,6117,424
274,9734,263
275,4812,425
276,4,876
277,4851,264
278,682,426
279,10622,878
280,12359,760
281,18432,922
282,36,265
283,4,427
284,350,879
285,685,761
286,470,266
287,917,428
288,38631,267
289,254,762
290,51,429
291,4250,268
292,7974,313
293,35036,269
294,606,764
295,2030,153
296,101,766
297,42,811
298,1703,155
299,241,812
300,1,813
301,21166,490
302,9850,157
303,1887,201
304,788,652
305,1,814
306,141,491
307,9,815
308,7231,203
309,1646,159
310,1961,493
311,2597,204
312,110,817
313,63241,205
314,7668,494
315,101,818
316,114,701
317,1,819
318,482,703
319,336,659
320,1910,380
321,2740,209
322,252,498
323,18762,705
324,30,381
325,1671,544
326,5569,382
327,93,706
328,14717,707
329,253,383
330,9267,384
331,2449,708
332,194,385
333,151,880
334,26162,386
335,2107,430
336,372,548
337,225,431
338,153,387
339,18430,388
340,1087,432
341,7306,389
342,14425,433
343,908,271
344,179,434
345,1,885
346,3955,273
347,760,435
348,15,436
349,39,887
350,218,770
351,46,888
352,20,275
353,1980,437
354,125215,438
355,32,889
356,190208,321
357,4909,
358,29000,439
359,433,772
360,1547,277
361,152,323
362,31,775
363,3,162
364,2,820
365,354,164
366,11,821
367,68,327
368,10,822
369,8886,661
370,239,166
371,3656,779
372,13268,211
373,294,329
374,37,662
375,3852,168
376,56,663
377,25688,213
378,288,826
379,11,664
380,4721,214
381,651,665
382,8,827
383,117,829
384,204,711
385,1,667
386,29,669
387,480547,101
388,3215,390
389,1670,391
390,14,715
391,42,553
392,1935,392
393,234,104
394,193,393
395,14480,105
396,19880,718
397,238,394
398,20121,106
399,613,395
400,83,557
401,156,719
402,53,890
403,54,107
404,678,396
405,16,602
406,97033,441
407,103430,397
408,38,892
409,170304,109
410,7127,398
411,1230,442
412,23,604
413,12178,399
414,4023,443
415,65,605
416,15,281
417,65,445
418,20,283
419,260,447
420,24,285
421,45,780
